Time:                         Temperature(C):        Altitude(m):      Pressure(psi):
______________________________________________________________________________________
2014:14:07:04:11  -114.1248327955646  205.88722840546765  50.020746289586306
2014:14:07:04:11 -112.15594991443531   694.7859281624189   50.14358886203163
2014:14:07:04:11 -111.64801209453537  1765.3009020963038   50.31792766802434
2014:14:07:04:12 -111.13241465439138  1990.9300728368742   50.71190219690713
2014:14:07:04:12 -110.24864197190556  3114.8016998485086   50.82830397090565
2014:14:07:04:12 -109.96555872986139   3354.202202212647   51.23814520880621
2014:14:07:04:12 -107.41778135609653   3438.211627589573   51.28195878736697
2014:14:07:04:13 -104.75764955457164   3984.882834946073   51.39749695038387
2014:14:07:04:13 -101.49395458534917   4181.743274688563   51.56296369815405
:                             :                   :                   :
2014:14:07:04:13  -99.43020752021773   4707.022957232313   51.80026655835168
2014:14:07:04:14  -98.25252585193158   5060.359616381354   51.88341242728933
2014:14:07:04:14  -93.52629618841131    5189.53666647145   52.14864506334238
:                             :                   :                   :
2014:14:07:04:14  -92.99585269558881   6500.414513703628   53.30475388148348
2014:14:07:04:15  -90.32407163720494  6628.8734651364975   53.40429979362238
2014:14:07:04:15  -90.27193587041437   6906.915279878999   53.59414068022872
2014:14:07:04:15  -89.10333043402058   7167.384409035193  53.758908753902546
2014:14:07:04:15  -87.65629186618158   7207.630619949548   54.05207100549481
2014:14:07:04:16  -87.51116173786959   7387.706454722488  54.384939292051456
2014:14:07:04:16  -86.50631792097518   7874.762126469678  54.478527166950116
2014:14:07:04:16  -86.42934877298818    8279.34224887396   54.92863887637367
2014:14:07:04:16  -85.41022518013392    8308.76368879068   54.98360444611272
2014:14:07:04:17   -85.1742505506795   8995.628287007408   55.72282622256508
2014:14:07:04:17  -85.12897425601666   9195.421498207834   55.95591976190417
2014:14:07:04:17  -84.48894948892007   9278.888339299376   56.20028513675934
2014:14:07:04:17  -82.43373004740515   9835.877966815544   56.46315618153319
2014:14:07:04:18  -80.27399282882435   9996.331013439536  56.672141942226695
2014:14:07:04:18  -80.22134131626522  10007.529809326732  57.177119251116125
2014:14:07:04:18  -78.36369068855855  10667.756641384012   57.58927414269755
2014:14:07:04:18  -76.72916320953972  10821.936430869082   57.77977280895463
2014:14:07:04:19  -76.36617727115258  11301.171920994504     57.875494088655
2014:14:07:04:19  -74.98421293187832  11351.347971742221   58.67585177791512
2014:14:07:04:19  -73.74026911198143  11505.711363299626   58.80312314757718
:                             :                   :                   :
2014:14:07:04:20  -69.34211418872765  11856.981365111316   58.92403743354646
2014:14:07:04:20  -69.30180414156128  12061.271974972526   59.18026055142689
2014:14:07:04:20   -68.5380682486367  12859.902246764255   59.50269369767391
:                             :                   :                   :
2014:14:07:04:21  -68.29705131357456  13552.228716801474  59.813819406128175
2014:14:07:04:21  -67.62878637002107  13987.369576189478   59.88973706190892
2014:14:07:04:21  -64.06882586690033  14150.412154601812  60.379927080420615
:                             :                   :                   :
2014:14:07:04:22 -63.732064120095814  14819.438560575083   61.35222700760279
2014:14:07:04:22 -60.443422814906754  15252.159184617127   61.37471940212302
2014:14:07:04:22  -60.02930461127344  15634.078166051122  61.653620404962254
