Time:               Temperature(C):     Altitude(m):      Pressure(psi):
______________________________________________________________________________
2014:14:07:04:11     -114,12483        000205,88723          0050,02075
2014:14:07:04:11     -112,15595        000694,78593          0050,14359
2014:14:07:04:11     -111,64801        001765,30090          0050,31793
2014:14:07:04:12     -111,13241        001990,93007          0050,71190
2014:14:07:04:12     -110,24864        003114,80170          0050,82830
2014:14:07:04:12     -109,96556        003354,20220          0051,23815
2014:14:07:04:12     -107,41778        003438,21163          0051,28196
2014:14:07:04:13     -104,75765        003984,88283          0051,39750
2014:14:07:04:13     -101,49395        004181,74327          0051,56296
      :                   :                 :                    :
2014:14:07:04:13     -099,43021        004707,02296          0051,80027
2014:14:07:04:14     -098,25253        005060,35962          0051,88341
2014:14:07:04:14     -093,52630        005189,53667          0052,14865
      :                   :                 :                    :
2014:14:07:04:14     -092,99585        006500,41451          0053,30475
2014:14:07:04:15     -090,32407        006628,87347          0053,40430
2014:14:07:04:15     -090,27194        006906,91528          0053,59414
2014:14:07:04:15     -089,10333        007167,38441          0053,75891
2014:14:07:04:15     -087,65629        007207,63062          0054,05207
2014:14:07:04:16     -087,51116        007387,70645          0054,38494
2014:14:07:04:16     -086,50632        007874,76213          0054,47853
2014:14:07:04:16     -086,42935        008279,34225          0054,92864
2014:14:07:04:16     -085,41023        008308,76369          0054,98360
2014:14:07:04:17     -085,17425        008995,62829          0055,72283
2014:14:07:04:17     -085,12897        009195,42150          0055,95592
2014:14:07:04:17     -084,48895        009278,88834          0056,20029
2014:14:07:04:17     -082,43373        009835,87797          0056,46316
2014:14:07:04:18     -080,27399        009996,33101          0056,67214
2014:14:07:04:18     -080,22134        010007,52981          0057,17712
2014:14:07:04:18     -078,36369        010667,75664          0057,58927
2014:14:07:04:18     -076,72916        010821,93643          0057,77977
2014:14:07:04:19     -076,36618        011301,17192          0057,87549
2014:14:07:04:19     -074,98421        011351,34797          0058,67585
2014:14:07:04:19     -073,74027        011505,71136          0058,80312
      :                   :                 :                    :
2014:14:07:04:20     -069,34211        011856,98137          0058,92404
2014:14:07:04:20     -069,30180        012061,27197          0059,18026
2014:14:07:04:20     -068,53807        012859,90225          0059,50269
      :                   :                 :                    :
2014:14:07:04:21     -068,29705        013552,22872          0059,81382
2014:14:07:04:21     -067,62879        013987,36958          0059,88974
2014:14:07:04:21     -064,06883        014150,41215          0060,37993
      :                   :                 :                    :
2014:14:07:04:22     -063,73206        014819,43856          0061,35223
2014:14:07:04:22     -060,44342        015252,15918          0061,37472
2014:14:07:04:22     -060,02930        015634,07817          0061,65362
2014:14:07:04:22     -053,46817        015658,66301          0062,20168
2014:14:07:04:23     -053,30668        016018,23676          0062,28256
      :                   :                 :                    :
      :                   :                 :                    :
2014:14:07:04:23     -051,47451        016747,71096          0063,62487
2014:14:07:04:24     -050,32768        016924,96408          0064,36525
2014:14:07:04:24     -048,54621        017062,95061          0064,40056
2014:14:07:04:24     -046,90773        017098,39086          0064,40401
2014:14:07:04:24     -046,79571        018538,27048          0064,60122
      :                   :                 :                    :
2014:14:07:04:25     -043,08362        019350,86324          0066,13575
2014:14:07:04:25     -042,34696        019386,38869          0066,69061
2014:14:07:04:25     -040,03505        019424,76763          0066,86700
2014:14:07:04:26     -039,29211        020206,02230          0067,87370
2014:14:07:04:26     -037,30930        020352,67704          0068,33342
2014:14:07:04:26     -034,45076        020370,44615          0068,74116
2014:14:07:04:26     -034,15456        020405,56965          0069,48882
2014:14:07:04:27     -030,51542        020573,17607          0069,66595
2014:14:07:04:27     -029,58453        020582,02235          0069,73458
2014:14:07:04:27     -028,25729        020605,55141          0070,35280
2014:14:07:04:27     -027,98389        021547,22381          0070,88406
2014:14:07:04:28     -027,28050        021820,21473          0071,13435
2014:14:07:04:28     -027,05186        022123,49509          0071,23556
      :                   :                 :                    :
2014:14:07:04:28     -024,16556        022561,86138          0072,28139
2014:14:07:04:29     -021,15709        022969,53394          0072,36851
2014:14:07:04:29     -021,10606        022981,08863          0072,43834
2014:14:07:04:29     -020,37492        023455,05591          0072,87315
      :                   :                 :                    :
2014:14:07:04:30     -017,45654        024046,54340          0073,23793
2014:14:07:04:30     -016,54613        024056,47956          0073,46608
2014:14:07:04:30     -013,41628        024108,26561          0073,52274
2014:14:07:04:30     -013,28222        024331,91839          0073,72861
2014:14:07:04:31     -011,43866        024348,80973          0074,02909
2014:14:07:04:31     -009,21928        024569,32872          0074,04546
2014:14:07:04:31     -008,39873        024601,17840          0074,35349
2014:14:07:04:31     -008,21534        024918,73969          0075,00562
      :                   :                 :                    :
2014:14:07:04:32     -005,76149        025186,63866          0075,31717
2014:14:07:04:32     -005,17614        025772,97702          0075,45234
2014:14:07:04:32     -004,11294        025854,30329          0075,45244
2014:14:07:04:33      000,79717        025889,38603          0075,52943
      :                   :                 :                    :
2014:14:07:04:33      002,99585        027185,03475          0076,64207
2014:14:07:04:33      004,96832        027583,98907          0076,66965
2014:14:07:04:34      005,38940        027637,93641          0076,76768
2014:14:07:04:34      006,28644        028354,17383          0076,98630
2014:14:07:04:34      008,77747        028937,95570          0077,52150
2014:14:07:04:34      009,16028        029497,08071          0077,64513
2014:14:07:04:35      010,25116        029559,20503          0077,66271
2014:14:07:04:35      015,37233        029753,15424          0077,71095
2014:14:07:04:35      016,40046        029866,30519          0078,49934
2014:14:07:04:35      021,27850        029977,77519          0079,13014
